anon.id,incumbent_share_survey,number_votes,incumbent_share_official
1,0,5,NA
2,0.833333333,6,0.450363196
3,0.857142857,7,0.408328826
4,0.555555556,9,NA
5,0.454545455,11,0.684931507
6,0,5,0.295243619
7,0,10,NA
8,0.555555556,9,0.786755387
9,0.142857143,21,NA
10,0,1,NA
11,0.5,8,0.435913909
12,0.428571429,7,NA
13,0.75,4,NA
14,0,6,1
15,0.166666667,24,0.056511057
16,0.916666667,12,1
17,0.818181818,11,0.174055233
18,0.818181818,44,0.483758295
19,0.133333333,15,0.201428571
20,0.72972973,37,0.399925457
21,0.205128205,39,0.672885572
22,0.692307692,39,0.33289749
23,0.833333333,12,0.752279635
24,0.269230769,26,0.368628741
25,0.451612903,31,0.397086175
26,0.606741573,89,0.295974515
27,0,12,1
28,0.727272727,22,NA
29,0.888888889,9,0.743083004
30,1,4,0.645784543
31,1,2,1
32,0.702702703,37,0.370686313
33,0.5,4,NA
34,0.8,5,0.693320171
35,0.666666667,3,NA
36,0.6,15,0.517761461
37,0.8,20,0.520699708
38,1,6,NA
39,0.5,10,NA
40,0.8,10,NA
41,0.777777778,54,NA
42,0.923076923,13,1
43,0.041666667,24,NA
44,0.782608696,23,0.428571429
45,1,5,NA
46,0.888888889,9,NA
47,0.1,10,NA
48,0.882352941,17,NA
49,0.055555556,18,0.330902215
50,0.857142857,42,0.560831889
51,0.72,25,NA
52,0.733333333,30,0.561726272
53,0.947368421,19,NA
54,0.804878049,41,0.563042723
55,0.714285714,77,0.310705394
56,0.071428571,14,0.22260669
57,0.586956522,46,0.42521153
58,0,10,0.434183464
59,0.833333333,36,0.51256093
60,0.833333333,30,0.771311894
61,0.5,4,NA
62,0.166666667,6,NA
63,0.727272727,11,NA
64,0.19047619,21,0.14624841
65,0.8,5,1
66,0.625,8,NA
67,0,31,1
68,0.857142857,21,0.700167504
69,0.714285714,14,NA
70,0.235294118,17,NA
71,0.857142857,14,0.725080859
72,0.916666667,12,0.658477404
73,0,16,0.182268333
74,0.92,25,0.529176659
75,0.904761905,21,0.637018634
76,0.966666667,30,0.445953189
77,0.959459459,74,0.786917462
78,0.838235294,68,0.537247399
79,0.923076923,65,0.493128272
80,1,5,0.554773083
81,0.96,25,0.424972618
82,0.769230769,78,0.587250483
83,0.21686747,83,NA
84,0.671428571,70,0.532068063
85,0.637931034,116,0.200185572
86,0.194029851,67,0.340493469
87,0.150684932,73,0.045088959
88,0.938461538,130,0.375140819
89,0.871794872,39,0.685193835
90,0.703703704,54,0.482520169
91,0.971428571,70,NA
92,0.918699187,123,0.772922164
93,0.714285714,21,0.471035387
94,0.558139535,43,0.230667021
95,0.72,25,NA
96,0.4,10,0.377295492
97,0.333333333,15,NA
98,0.363636364,22,0.256193991
99,0.225806452,31,0.313138038
100,0.5,26,NA
101,0.5625,16,0.486147757
102,0.459459459,37,0.20613919
103,0.5,16,0.664449819
104,0.96969697,33,0.512026239
105,0.875,8,0.295218894
106,0.95,20,1
107,0.956521739,23,1
108,0,19,0.166813251
109,0.911764706,34,0.765013055
110,0.868421053,38,0.517314488
111,0.931034483,29,1
112,0.84,25,NA
113,1,9,NA
114,0.818181818,33,0.62191118
115,0.903225806,31,0.603822602
116,0.962962963,27,0.545134302
117,0.888888889,27,0.574165544
118,0.703703704,27,0.811388889
119,0.75,8,0.528277071
120,0.666666667,27,0.519217082
121,0.71875,32,0.370296465
122,0.764705882,34,0.551507058
123,0.304347826,23,0.514218664
124,0.435897436,39,0.347998778
125,0.823529412,17,0.474855553
126,0.083333333,48,0.372630992
127,0.711111111,45,0.58428964
128,0.904761905,21,0.548318206
129,0.34375,32,0.518645521
130,0.606060606,33,0.356905342
131,0.75,24,0.432164494
132,0.526315789,19,0.459664804
133,0.714285714,14,0.540400972
134,0.552631579,38,0.671815718
135,0.882352941,17,0.607954545
136,0.8,10,0.737520661
137,1,1,0.400318254
138,0.833333333,6,0.380392157
139,0.333333333,3,0.476914519
140,1,2,0.592857143
141,0.8,5,0.266264252
142,0.5,2,0.581570997
143,0.8,5,1
144,0.552631579,38,0.285714286
