District_Name,In_Sample,Quartile,Q1,Q2,Q3,Q4,Budget_2013_14,Funds_not_accounted_for,Procurement_issues,Payroll_Anomolies,Percent_Issues
Abim,,much worse ,0,0.000698011,0.003106976,0.018529966,"19,543,135,000",362133626,,,0.01853
Adjumani,,much better,0,0.000698011,0.003106976,0.018529966,"22,851,374,000",0,,,0
Agago,yes,much better,0,0.000698011,0.003106976,0.018529966,"19,444,600,000",0,,0,0
Alebtong,,much worse ,0,0.000698011,0.003106976,0.018529966,"15,427,004,000",268531934,,,0.017407
Amolatar,yes,worse ,0,0.000698011,0.003106976,0.018529966,"15,114,649,000",43866700,,0,0.002902
Amudat,,worse ,0,0.000698011,0.003106976,0.018529966,"7,234,071,000",19637600,,,0.002715
Amuria,,much better,0,0.000698011,0.003106976,0.018529966,"19,580,235,000",0,,,0
Amuru,,worse ,0,0.000698011,0.003106976,0.018529966,"22,048,059,000",57262050,,,0.002597
Apac,,much better,0,0.000698011,0.003106976,0.018529966,"34,581,169,000",0,,,0
Arua,yes,worse ,0,0.000698011,0.003106976,0.018529966,"52,171,768,000",65551222,,0,0.001256
Budaka,,much better,0,0.000698011,0.003106976,0.018529966,"14,913,583,000",0,,,0
Bududa,,much worse ,0,0.000698011,0.003106976,0.018529966,"15,811,022,000",275478856,,,0.017423
Bugiri,,better,0,0.000698011,0.003106976,0.018529966,"27,833,179,000",14035000,,,0.000504
Buhweju,,better,0,0.000698011,0.003106976,0.018529966,"8,635,427,000",3452500,,,0.0004
Buikwe,yes,better,0,0.000698011,0.003106976,0.018529966,"26,822,692,000",13607000,,0,0.000507
Bukedea,,much better,0,0.000698011,0.003106976,0.018529966,"18,166,271,000",0,,,0
Bukomansimbi,,much better,0,0.000698011,0.003106976,0.018529966,"10,773,746,000",0,,,0
Bukwo,,worse ,0,0.000698011,0.003106976,0.018529966,"11,746,916,000",22878702,,,0.001948
Bulambuli,yes,much worse ,0,0.000698011,0.003106976,0.018529966,"11,915,115,000",111319388,,0,0.009343
Buliisa,,worse ,0,0.000698011,0.003106976,0.018529966,"11,815,452,000",27350000,,,0.002315
Bundibugyo,,much worse ,0,0.000698011,0.003106976,0.018529966,"19,096,640,000",183133458,,,0.00959
Bushenyi,yes,much worse ,0,0.000698011,0.003106976,0.018529966,"19,373,796,000",146936299,,0,0.007584
