ID,CAT_REF,DISTRICT_CODE,DISTRICT_NAME,MUN_CODE,MUN_NAME,CONST_CODE,CONST_NAME,SCOUNTY_CODE,SCOUNTY_NAME,PARISH_CODE,PARISH_NAME,ELECT_CODE,ELECT_NAME,SURNAME,OTHER_NAME,SEX,POLITICAL_P,SYMBOL,VALID_VOTES,WINNER,CATEGORY,locid,district,budgetcategory,goodnews,badnews,matchme,matched,locid2011,incumbentparty,incumbentparty2,incumbent,votes,winnervotes,totalvotes,winnerperc,perc,marginperc,runnerupperc,incumbentmargin,winnermargin
370,DIST/DEC/2016,1,APAC,NA,,2,KWANIA COUNTY,2,CAWENTE,NA,,2,CAWENTE,ELING,GEOFFREY,M,UPC,,"4,500",WINNER,District/City Directly Elected Councillors,KWANIA COUNTY2,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,1,4500,4500,5612,0.801853172,0.801853172,0,0.198146828,0.603706344,0.603706344
371,DIST/DEC/2016,1,APAC,NA,,2,KWANIA COUNTY,2,CAWENTE,NA,,2,CAWENTE,OKWIR,RONALD,M,INDEPENDENT,BALL,"1,112",,District/City Directly Elected Councillors,KWANIA COUNTY2,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,0,1112,4500,5612,0.801853172,0.198146828,0.603706344,0.198146828,-0.603706344,0.603706344
372,DIST/DEC/2016,1,APAC,NA,,2,KWANIA COUNTY,3,INOMO,NA,,3,INOMO,ETIME,ISAAC NEWTON,M,NRM,,"3,270",,District/City Directly Elected Councillors,KWANIA COUNTY3,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,0,3270,3869,7139,0.541952654,0.458047346,0.083905309,0.458047346,-0.083905309,0.083905309
373,DIST/DEC/2016,1,APAC,NA,,2,KWANIA COUNTY,3,INOMO,NA,,3,INOMO,OKELLO,PAUL,M,UPC,,"3,869",WINNER,District/City Directly Elected Councillors,KWANIA COUNTY3,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,1,3869,3869,7139,0.541952654,0.541952654,0,0.458047346,0.083905309,0.083905309
374,DIST/DEC/2016,1,APAC,NA,,2,KWANIA COUNTY,4,NAMBIESO,NA,,4,NAMBIESO,ERON,TONNY,M,NRM,,"3,683",,District/City Directly Elected Councillors,KWANIA COUNTY4,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,0,3683,4331,8014,0.540429249,0.459570751,0.080858498,0.459570751,-0.080858498,0.080858498
375,DIST/DEC/2016,1,APAC,NA,,2,KWANIA COUNTY,4,NAMBIESO,NA,,4,NAMBIESO,OKELLO,JIMMY EMMANUEL ECUN,M,UPC,,"4,331",WINNER,District/City Directly Elected Councillors,KWANIA COUNTY4,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,1,4331,4331,8014,0.540429249,0.540429249,0,0.459570751,0.080858498,0.080858498
376,DIST/DEC/2016,1,APAC,NA,,2,KWANIA COUNTY,5,ABONGOMOLA,NA,,5,ABONGOMOLA,ANGOL,SIMON,M,NRM,,62,,District/City Directly Elected Councillors,KWANIA COUNTY5,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,NRM,NA,1,62,226,288,0.784722222,0.215277778,0.569444444,0.215277778,-0.569444444,0.569444444
377,DIST/DEC/2016,1,APAC,NA,,2,KWANIA COUNTY,5,ABONGOMOLA,NA,,5,ABONGOMOLA,ODYOMO,ROBSON,M,UPC,,226,WINNER,District/City Directly Elected Councillors,KWANIA COUNTY5,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,NRM,NA,0,226,226,288,0.784722222,0.784722222,0,0.215277778,0.569444444,0.569444444
378,DIST/DEC/2016,1,APAC,NA,,2,KWANIA COUNTY,6,ADUKU TOWN COUNCIL,NA,,6,ADUKU TOWN COUNCIL,AKACHA,K K GEORGE,M,NRM,,"1,158",WINNER,District/City Directly Elected Councillors,KWANIA COUNTY6,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,NRM,NA,1,1158,1158,1761,0.65758092,0.65758092,0,0.34241908,0.31516184,0.31516184
379,DIST/DEC/2016,1,APAC,NA,,2,KWANIA COUNTY,6,ADUKU TOWN COUNCIL,NA,,6,ADUKU TOWN COUNCIL,EBIL,JOLLY,F,UPC,,603,,District/City Directly Elected Councillors,KWANIA COUNTY6,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,NRM,NA,0,603,1158,1761,0.65758092,0.34241908,0.31516184,0.34241908,-0.31516184,0.31516184
380,DIST/DEC/2016,1,APAC,NA,,3,MARUZI COUNTY,1,AKOKORO,NA,,1,AKOKORO,OBONG,PETER ACUDA,M,UPC,,"3,841",WINNER,District/City Directly Elected Councillors,MARUZI COUNTY1,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,1,3841,3841,6404,0.599781387,0.599781387,0,0.400218613,0.199562773,0.199562773
381,DIST/DEC/2016,1,APAC,NA,,3,MARUZI COUNTY,1,AKOKORO,NA,,1,AKOKORO,ONGOM,BENSON,M,NRM,,"2,563",,District/City Directly Elected Councillors,MARUZI COUNTY1,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,0,2563,3841,6404,0.599781387,0.400218613,0.199562773,0.400218613,-0.199562773,0.199562773
382,DIST/DEC/2016,1,APAC,NA,,3,MARUZI COUNTY,2,APAC,NA,,2,APAC,ODONGO,DAVID EDMOND HAGARD,M,INDEPENDENT,BALL,300,,District/City Directly Elected Councillors,MARUZI COUNTY2,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,0,300,4451,8238,0.540301044,0.036416606,0.503884438,0.274945375,-0.503884438,0.265355669
383,DIST/DEC/2016,1,APAC,NA,,3,MARUZI COUNTY,2,APAC,NA,,2,APAC,ODONGO,TONNY JASPER,M,UPC,,"4,451",WINNER,District/City Directly Elected Councillors,MARUZI COUNTY2,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,1,4451,4451,8238,0.540301044,0.540301044,0,0.274945375,0.265355669,0.265355669
384,DIST/DEC/2016,1,APAC,NA,,3,MARUZI COUNTY,2,APAC,NA,,2,APAC,ODYAMBO,DOUGLAS,M,FDC,,890,,District/City Directly Elected Councillors,MARUZI COUNTY2,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,0,890,4451,8238,0.540301044,0.108035931,0.432265113,0.274945375,-0.432265113,0.265355669
385,DIST/DEC/2016,1,APAC,NA,,3,MARUZI COUNTY,2,APAC,NA,,2,APAC,OJAA,BONNY,M,NRM,,"2,265",,District/City Directly Elected Councillors,MARUZI COUNTY2,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,0,2265,4451,8238,0.540301044,0.274945375,0.265355669,0.274945375,-0.265355669,0.265355669
386,DIST/DEC/2016,1,APAC,NA,,3,MARUZI COUNTY,2,APAC,NA,,2,APAC,OTIM,MALAKWANG GEOFFREY,M,INDEPENDENT,CLOCK,332,,District/City Directly Elected Councillors,MARUZI COUNTY2,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,0,332,4451,8238,0.540301044,0.040301044,0.5,0.274945375,-0.5,0.265355669
387,DIST/DEC/2016,1,APAC,NA,,3,MARUZI COUNTY,3,APAC TOWN COUNCIL,NA,,3,APAC TOWN COUNCIL,EGWEL,OPYENE GILBERT,M,NRM,,"1,302",WINNER,District/City Directly Elected Councillors,MARUZI COUNTY3,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,0,1302,1302,3248,0.400862069,0.400862069,0,0.354987685,0.045874384,0.045874384
388,DIST/DEC/2016,1,APAC,NA,,3,MARUZI COUNTY,3,APAC TOWN COUNCIL,NA,,3,APAC TOWN COUNCIL,OGWANG,OTIM JAMES,M,UPC,,793,,District/City Directly Elected Councillors,MARUZI COUNTY3,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,1,793,1302,3248,0.400862069,0.244150246,0.156711823,0.354987685,-0.156711823,0.045874384
389,DIST/DEC/2016,1,APAC,NA,,3,MARUZI COUNTY,3,APAC TOWN COUNCIL,NA,,3,APAC TOWN COUNCIL,YINE,FELIX AMBROSES,M,INDEPENDENT,TABLE,"1,153",,District/City Directly Elected Councillors,MARUZI COUNTY3,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,0,1153,1302,3248,0.400862069,0.354987685,0.045874384,0.354987685,-0.045874384,0.045874384
390,DIST/DEC/2016,1,APAC,NA,,3,MARUZI COUNTY,4,CHEGERE,NA,,4,CHEGERE,AWIDI,ALFRED,M,UPC,,"2,990",,District/City Directly Elected Councillors,MARUZI COUNTY4,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,1,2990,3295,6285,0.524264121,0.475735879,0.048528242,0.475735879,-0.048528242,0.048528242
391,DIST/DEC/2016,1,APAC,NA,,3,MARUZI COUNTY,4,CHEGERE,NA,,4,CHEGERE,ODORA,DAVID,M,NRM,,"3,295",WINNER,District/City Directly Elected Councillors,MARUZI COUNTY4,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,0,3295,3295,6285,0.524264121,0.524264121,0,0.475735879,0.048528242,0.048528242
392,DIST/DEC/2016,1,APAC,NA,,3,MARUZI COUNTY,5,IBUJE,NA,,5,IBUJE,IKOMBA,ASANTI ODONGO,M,UPC,,"4,145",WINNER,District/City Directly Elected Councillors,MARUZI COUNTY5,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,1,4145,4145,7382,0.561500948,0.561500948,0,0.386074235,0.175426714,0.175426714
393,DIST/DEC/2016,1,APAC,NA,,3,MARUZI COUNTY,5,IBUJE,NA,,5,IBUJE,MUNO,LAWRENCE,M,NRM,,"2,850",,District/City Directly Elected Councillors,MARUZI COUNTY5,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,0,2850,4145,7382,0.561500948,0.386074235,0.175426714,0.386074235,-0.175426714,0.175426714
394,DIST/DEC/2016,1,APAC,NA,,3,MARUZI COUNTY,5,IBUJE,NA,,5,IBUJE,OBANG,WALTER,M,INDEPENDENT,TABLE,387,,District/City Directly Elected Councillors,MARUZI COUNTY5,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,0,387,4145,7382,0.561500948,0.052424817,0.509076131,0.386074235,-0.509076131,0.175426714
395,DIST/DEC/2016,1,APAC,NA,,2,KWANIA COUNTY,1,ADUKU,NA,,1,ADUKU,OKELLO,ONAC ANTHONY BASI,M,UPC,,"3,070",WINNER,District/City Directly Elected Councillors,KWANIA COUNTY1,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,1,3070,3070,5474,0.560833029,0.560833029,0,0.439166971,0.121666058,0.121666058
396,DIST/DEC/2016,1,APAC,NA,,2,KWANIA COUNTY,1,ADUKU,NA,,1,ADUKU,OPIO,OKENE THOMAS,M,NRM,,"2,404",,District/City Directly Elected Councillors,KWANIA COUNTY1,APAC,much better,TRUE,FALSE,TRUE,TRUE,NA,UPC,NA,0,2404,3070,5474,0.560833029,0.439166971,0.121666058,0.439166971,-0.121666058,0.121666058
