NAME_1,NAME_3,commune
Plateau-Central,Absouya,ABSOUYA
Centre-Est,Andemtenga,ANDEMTENGA
Sahel,Aribinda,ARBINDA
Centre-Est,Bagre,BAGRE
Centre-Est,Bane,BANE
Cascades,Banfora,BANFORA
Sahel,Bani,BANI
Sahel,Baraboule,BARABOULE
Centre-Nord,Barsalogho,BARSALOGHO
Centre-Est,Baskouré,BASKOURE
Centre-Est,Beguedo,BEGUEDO
Centre-Sud,Bere,BERE
Cascades,Beregadougou,BEREGADOUGOU
Centre-Sud,Binde,BINDE
Centre-Est,Bissiga,BISSIGA
Centre-Est,Bittou,BITTOU
Centre-Nord,Boala,BOALA
Plateau-Central,Boudry,BOUDRY
Centre-Nord,Boulsa,BOULSA
Sahel,Boundore,BOUNDORE
Centre-Nord,Bouroum,BOUROUM
Centre-Nord,Bourzanga,BOURZANGA
Plateau-Central,Boussé,BOUSSE
Centre-Est,Boussouma,BOUSSOUMA GARANGO
Centre-Nord,Boussouma,BOUSSOUMA KAYA
Centre-Est,Comin-Yanga,COMIN_YANGA
Centre-Nord,Dablo,DABLO
Cascades,Dakoro,DAKORO
Plateau-Central,Dapélogo,DAPELOGO
Centre-Nord,Dargo,DARGO
Sahel,Deou,DEOU
Centre-Est,Dialgaye,DIALGAYE
Sahel,Diguel,DIGUEL
Sahel,Djibo,DJIBO
Sahel,Dori,DORI
Centre-Sud,Doulougou,DOULOUGOU
Cascades,Douna,DOUNA
Centre-Est,Dourtenga,DOURTENGA
Sahel,Falagountou,FALAGOUNTOU
Centre-Sud,Gaongo,GAONGO
Centre-Est,Garango,GARANGO
Centre-Sud,Gogo,GOGO
Centre-Sud,Gomboussougou,GOMBOUSSOUGOU
Sahel,Gorgadji,GORGADJI
Sahel,Gorom-Gorom,GOROM_GOROM
Centre-Est,Gounghin,GOUNGHIN
Centre-Sud,Guiaro,GUIARO
Centre-Sud,Guiba,GUIBA
Centre-Nord,Guibare,GUIBARE
Centre-Sud,Ipelce,IPELCE
Centre-Est,Kando,KANDO
Cascades,Kankalaba,KANKALABA
Centre-Nord,Kaya,KAYA
Centre-Sud,Kayao,KAYAO
Sahel,Kelbo,KELBO
Plateau-Central,Kogho,KOGHO
Centre-Sud,Kombissiri,KOMBISSIRI
Centre-Est,Komtoega,KOMTOEGA
Centre-Nord,Kongoussi,KONGOUSSI
Centre-Nord,Korsimoro,KORSIMORO
Centre-Est,Koupéla,KOUPELA
Sahel,Koutougou,KOUTOUGOU
Centre-Est,Lalgaye,LALGAYE
Plateau-Central,Laye,LAYE
Cascades,Loumana,LOUMANA
Plateau-Central,Loumbila,LOUMBILA
Centre-Nord,Mane,MANE
Centre-Sud,Manga,MANGA
Cascades,Mangodara,MANGODARA
Sahel,Mansila,MANSILA
Sahel,Markoye,MARKOYE
Plateau-Central,Méguet,MEGUET
Plateau-Central,Mogtédo,MOGTEDO
Cascades,Moussodougou,MOUSSODOUGOU
Centre-Nord,Nagbingou,NAGBINGOU
Plateau-Central,Nagreongo,NAGREONGO
Centre-Nord,Namissiguima,NAMISSIGUIMA
Centre-Nord,Nassere,NASSERE
Sahel,Nassoumbou,NASSOUMBOU
Cascades,Niangoloko,NIANGOLOKO
Cascades,Niankorodougou,NIANKORODOUGOU
Centre-Est,Niaogho,NIAOGO
Plateau-Central,Niou,NIOU
Centre-Sud,Nobere,NOBÃ‰RÃ‰
Centre-Est,Ouargaye,OUARGAYE
Cascades,Oueleni,OUELENI
Cascades,Ouo,OUO
Plateau-Central,Ourgou-Manega,OURGOU_MANEGA
Sahel,Oursi,OURSI
Centre-Nord,Pensa,PENSA
Centre-Nord,Pibaore,PIBAORE
Centre-Nord,Pissila,PISSILA
Centre-Sud,Pô,PO
Sahel,Pobe-Mengao,POBE_MENGAO
Centre-Est,Pouytenga,POUYTENGA
Centre-Nord,Rollo,ROLLO
Centre-Nord,Rouko,ROUKO
Centre-Nord,Sabce,SABCE
Plateau-Central,Salogo,SALOGO
Sahel,Sampelga,SAMPELGA
Centre-Est,Sangha,SANGA
Centre-Sud,Sapone,SAPONE
Sahel,Sebba,SEBBA
Sahel,Seytenga,SEYTENGA
Cascades,Sidéradougou,SIDERADOUGOU
Cascades,Sindou,SINDOU
Sahel,Solhan,SOLHAN
Cascades,Soubakaniédougou,SOUBAKANIEDOUGOU
Centre-Est,Soudougui,SOUDOUGUI
Plateau-Central,Sourgoubila,SOURGOUBILA
Sahel,Tankougounadie,TANKOUGOUNADIE
Centre-Est,Tenkodogo,TENKODOGO
Centre-Est,Tensobentenga,TENSOBENTENGA
Centre-Sud,Tiébélé,TIEBELE
Cascades,Tiéfora,TIEFORA
Centre-Nord,Tikare,TIKARE
Sahel,Tin-Akoff,TIN_AKOFF
Sahel,Titabe,TITABE
Centre-Sud,Toece,TOECE
Plateau-Central,Toéghin,TOEGHIN
Sahel,Tongomayel,TONGOMAYEL
Centre-Nord,Tougouri,TOUGOURI
Cascades,Wolonkoto,WOLONKOTO
Centre-Nord,Yalgo,YALGO
Centre-Est,Yargatenga,YARGATENGA
Centre-Est,Yargo,YARGO
Centre-Est,Yondé,YONDE
Centre-Est,Zabré,ZABRE
Plateau-Central,Zam,ZAM
Centre-Sud,Zecco,ZECCO
Centre-Nord,Zeguedeguin,ZEGUEDEGUIN
Centre-Nord,Ziga,ZIGA
Centre-Nord,Zimtenga,ZIMTANGA
Plateau-Central,Ziniare,ZINIARÃ‰
Centre-Sud,Ziou,ZIOU
Plateau-Central,Zitenga,ZITENGA
Centre-Est,Zoaga,ZOAGA
Centre-Est,Zonsé,ZONSE
Plateau-Central,Zorgho,ZORGHO
Plateau-Central,Zoungou,ZOUNGOU
