qnum,muni,codeibge,codesetor,group,incumbent_wins,acc_status,ana_rank,data,hora_1,sex,age,politics_interest,turnout_2012,vote_2012,same_race_mayor,turnout_2014,vote_2014,partisan,muni_biggest_prob,politician_helped,edu_contas_rank,mayor_pid,govt_eval_baseline,acc_eval_baseline,uncertain_acc_baseline,edu_eval_baseline,uncertain_edu_baseline,tce_knowledge,ana_knowledge,child_school,confid_fedgov,confid_justice,confid_tce,confid_muni,acc_responsible,edu_responsible,prob_vote_buying,prob_vote_monitoring,prob_vote_count,info_welfare,source_cred1,acc_rejected_prior,tce_prior_cert,ana_prior,edu_prior_uncert,treat_quest,years_edu,race,religion,income,relative_wellbeing,pesq,hora_2,ana,accounts,acc_rejected,control,good_ana,good_accounts,female,edu_rank1,acc_rank1,info_corrupt_welfare1,source_cred1_survey,free_fair,acc_goodsurprise,acc_badsurprise,acc_nosurprise,list1,list2,carlos,flier,area1,area2,turnout,vote_choice,list_exp_vote,decision_factors,top3_1,top3_2,top3_3,govt_eval,pol_effort,pol_honesty,good_schools1,good_schools2,good_schools3,acc_rejected_posterior,ana_posterior,acc_backlash,ideb_heard,ideb_heard_from1,ideb_heard_from2,ideb_heard_from3,ideb_goal_met,received_flier,heard_others_flier,flier_openended1,flier_openended2,flier_openended3,vote_vig,uncertain_edu_eval,uncertain_acc_eval,uncertain_edu_open,uncertain_acc_open,edu_eval,acc_eval,vote_buying_list,vote_list,vig_treatment,valid_vote,vote_party,vote,vote_winner,vote_vig_strict,info_most_important,info_import,attrited,acc_correct,ana_correct,acc_anysurprise,competitiveness
1,Abreu e Lima,2600054,260005405000008,(3) Educação,0,APROVADO COM RESSALVA,6,909,1310,Homem,50,Pouco interessado(a),1,1,1,Sim,Dilma Rousseff,1,Saúde/hospitais/postos de saúde,0,Igualmente importantes,7,5,Péssimo,7,Ruim,7,0,0,1,4,4,4,7,7,7,3,2,1,Se ele se envolveu em corrupção,Uma pessoa influente da sua comunidade,1,Seguro(a),13,Seguro(a),Não,3,Parda,Evangélica Pentecostal,"De R$ 880,01 até R$ 1.320,00",Igual,1,1320,1,0,0,0,1,0,0,0,0,1,0,3,1,0,0,"
Receber um presente, favor ou acesso a um serviço em troca do seu voto",NA,NA,Educação,contas do município,escolas municipais,1,2,3,Benefícios para a comunidade,Conversas com amigos ou familiares,NA,NA,3,1,1,Ter professores bem formados,Ter bom desempenho em avaliações nacionais,Ter professores bem pagos,0,61,Não,Não,NA,NA,NA,NS/NR,0,Não,NA,NA,NA,1,4,1,Falta de investimento na educação,Falta de limpeza pública,3,1,1,0,0,1,PMDB,0,0,0,0,NA,0,1,129,1,0.8245357040629051
2,Abreu e Lima,2600054,260005405000008,(1) Controle,0,APROVADO COM RESSALVA,6,909,1321,Homem,37,Nada interessado(a),1,1,0,Não,Dilma Rousseff,0,Saúde/hospitais/postos de saúde,0,A administração das contas do município,1,3,Regular,7,Ruim,7,0,0,1,2,2,2,1,7,7,3,3,2,Se ele se envolveu em corrupção,Uma pessoa influente da sua comunidade,1,Seguro(a),57,Seguro(a),Não,6,Parda,"Nenhuma (Acredita em uma entidade suprema, mas não pertence a religião nenhuma)","De R$ 880,01 até R$ 1.320,00",Igual,1,1335,0,0,0,1,1,0,0,0,1,1,0,5,1,0,0,NA,NA,NA,Educação,contas do município,escolas municipais,1,1,1,Benefícios para a comunidade,O que aprendi durante a campanha sobre candidatos da oposição,Conversas com amigos ou familiares,NA,2,2,3,Ter professores bem formados,Ter bom desempenho em avaliações nacionais,Ter acesso a Internet,1,169,Não,Não,NA,NA,NA,Não,0,Não,NA,NA,NA,0,3,2,Investimento na educação,Falta de investimento na saúde,4,2,0,0,0,1,PDT,0,0,0,0,NA,0,0,21,1,0.8245357040629051
3,Abreu e Lima,2600054,260005405000008,(1) Controle,0,APROVADO COM RESSALVA,6,909,1345,Mulher,26,Pouco interessado(a),1,1,0,Sim,Dilma Rousseff,1,Saúde/hospitais/postos de saúde,0,Igualmente importantes,7,4,Ruim,7,Ruim,7,0,0,1,1,1,1,1,7,7,3,2,2,Se ele consegue trazer benefícios e serviços para a população,Uma pessoa influente da sua comunidade,1,Seguro(a),57,Seguro(a),Não,8,Parda,"Nenhuma (Acredita em uma entidade suprema, mas não pertence a religião nenhuma)","De R$ 440,01 até R$ 880,00",Igual,1,1355,0,0,0,1,1,0,1,0,0,0,0,4,1,0,0,"
Receber um presente, favor ou acesso a um serviço em troca do seu voto",NA,NA,Gestão Financ.,contas do município,escolas municipais,1,1,2,NA,O que aprendi durante a campanha sobre candidatos da oposição,O que aprendi durante a campanha sobre o atual prefeito,Conversas com amigos ou familiares,1,1,1,Ter acesso a Internet,Ter professores bem pagos,Ter professores bem formados,1,185,Não,Não,NA,NA,NA,NS/NR,0,Não,NA,NA,NA,1,3,2,Má qualidade do ensino/Professores mau qualificados,Falta de saneamento básico,1,1,1,0,0,1,PDT,0,0,0,0,1,0,0,5,1,0.8245357040629051
4,Abreu e Lima,2600054,260005405000008,(3) Educação,0,APROVADO COM RESSALVA,6,909,1420,Mulher,81,Nada interessado(a),0,1,0,Não,Dilma Rousseff,0,Saúde/hospitais/postos de saúde,1,Igualmente importantes,1,5,Ruim,7,Ruim,7,0,0,1,1,1,1,7,7,7,3,4,1,Se ele foi acusado de cometer algum crime,Outra,1,Seguro(a),57,Seguro(a),Não,0,Branca,Evangélica Pentecostal,"De R$ 880,01 até R$ 1.320,00",Igual,1,1428,1,0,0,0,1,0,1,0,0,0,0,5,1,0,0,"
Receber um presente, favor ou acesso a um serviço em troca do seu voto",NA,"Também nessa cidade, o Tribunal de Contas do Estado rejeitou as contas do Prefeito Carlos no ano de 2013 porque encontrou problemas sérios na administração do orçamento.",Educação,escolas municipais,contas do município,0,Branco/Nulo,0,NA,NA,NA,NA,2,2,1,Ficar perto da sua casa,Ter professores bem pagos,Ter professores bem formados,0,113,Não,Não,NA,NA,NA,NS/NR,1,Não,NA,NA,NA,NA,3,2,NS/NR,NA,NA,NA,1,0,1,0,NA,0,0,NA,NA,NA,0,1,77,1,0.8245357040629051
5,Abreu e Lima,2600054,260005405000008,(2) Gestão Financeira,0,APROVADO COM RESSALVA,6,909,1432,Homem,56,Pouco interessado(a),1,1,0,Sim,Dilma Rousseff,0,Saúde/hospitais/postos de saúde,0,Igualmente importantes,1,3,Regular,7,Ruim,7,0,0,1,7,7,5,7,7,7,4,2,2,Se ele se envolveu em corrupção,Um político local,1,Seguro(a),15,Seguro(a),Não,11,Parda,Evangélica Pentecostal,"De R$ 880,01 até R$ 1.320,00",Melhor,1,1441,0,1,0,0,1,0,0,0,0,1,0,4,1,0,0,NA,"
Votar em um candidato que perdeu as eleições para prefeito",NA,Gestão Financ.,contas do município,escolas municipais,1,1,1,Benefícios para a comunidade,Outro fator,Conversas com amigos ou familiares,NA,3,1,1,Ser escola de tempo integral,Ter professores bem formados,Ter acesso a Internet,1,109,Não,Não,NA,NA,NA,NS/NR,0,Não,NA,NA,NA,1,4,2,Falta de investimento na educação,Não houve transparência nas suas contas/contas rejeitadas,3,2,0,1,0,1,PDT,0,0,0,0,NA,0,0,81,1,0.8245357040629051
6,Abreu e Lima,2600054,260005405000008,(2) Gestão Financeira,0,APROVADO COM RESSALVA,6,909,1445,Mulher,33,Pouco interessado(a),1,0,0,Sim,Dilma Rousseff,1,Saúde/hospitais/postos de saúde,0,Igualmente importantes,6,4,Ruim,6,Ruim,6,0,0,1,3,1,1,6,7,7,3,3,2,Se ele consegue trazer benefícios e serviços para a população,Uma pessoa influente da sua comunidade,1,Seguro(a),57,Seguro(a),Não,6,Branca,Católica,"De R$ 880,01 até R$ 1.320,00",Igual,1,1504,0,1,0,0,1,0,1,0,0,0,0,5,1,0,0,NA,"
Votar em um candidato que perdeu as eleições para prefeito","Também nessa cidade, o Tribunal de Contas do Estado rejeitou as contas do Prefeito Carlos no ano de 2013 porque encontrou problemas sérios na administração do orçamento.",Gestão Financ.,escolas municipais,contas do município,1,3,2,Benefícios para a comunidade,Conversas com amigos ou familiares,NA,NA,5,4,3,Ter professores bem formados,Ter professores bem pagos,Ter bom desempenho em avaliações nacionais,0,9,Não,Não,NA,NA,NA,NS/NR,1,Não,NA,NA,NA,0,3,2,Falta de investimento na educação,NA,4,4,0,1,1,1,PSB,1,1,0,0,NA,0,1,181,1,0.8245357040629051
7,Abreu e Lima,2600054,260005405000008,(2) Gestão Financeira,0,APROVADO COM RESSALVA,6,909,1510,Homem,41,Muito interessado(a),1,1,0,Sim,Dilma Rousseff,1,Saúde/hospitais/postos de saúde,0,Igualmente importantes,7,4,Ruim,7,Ruim,7,0,0,0,1,1,1,6,5,4,3,3,2,Se ele se envolveu em corrupção,Outra,1,Seguro(a),57,Seguro(a),Não,9,Parda,Católica,"De R$ 880,01 até R$ 1.320,00",Igual,1,1520,0,1,0,0,1,0,0,0,0,1,0,5,1,0,0,NA,"
Votar em um candidato que perdeu as eleições para prefeito","Também nessa cidade, o Tribunal de Contas do Estado rejeitou as contas do Prefeito Carlos no ano de 2013 porque encontrou problemas sérios na administração do orçamento.",Gestão Financ.,escolas municipais,contas do município,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0.8245357040629051
8,Abreu e Lima,2600054,260005405000008,(1) Controle,0,APROVADO COM RESSALVA,6,909,1530,Mulher,28,Pouco interessado(a),0,1,0,Sim,Dilma Rousseff,0,Saúde/hospitais/postos de saúde,0,Igualmente importantes,1,4,Ruim,1,Ruim,1,0,0,0,1,1,1,1,1,1,4,4,2,Se ele se envolveu em corrupção,Uma pessoa influente da sua comunidade,1,Seguro(a),50,Seguro(a),Não,10,Branca,Evangélica Pentecostal,"De R$ 880,01 até R$ 1.320,00",Igual,1,1545,0,0,0,1,1,0,1,0,0,1,0,6,1,0,0,"
Receber um presente, favor ou acesso a um serviço em troca do seu voto","
Votar em um candidato que perdeu as eleições para prefeito","Também nessa cidade, o Tribunal de Contas do Estado rejeitou as contas do Prefeito Carlos no ano de 2013 porque encontrou problemas sérios na administração do orçamento.",Educação,escolas municipais,contas do município,0,3,0,NA,NA,NA,NA,3,2,2,Ter bom desempenho em avaliações nacionais,Ter professores bem pagos,Ter professores bem formados,1,93,Não,Não,NA,NA,NA,Não,0,Não,NA,NA,NA,0,3,2,NS/NR,NA,NA,3,1,1,1,0,PSB,0,0,0,NA,NA,0,0,97,1,0.8245357040629051
9,Abreu e Lima,2600054,260005405000039,(1) Controle,0,APROVADO COM RESSALVA,6,909,930,Mulher,65,Nada interessado(a),1,0,1,Sim,Dilma Rousseff,0,Saúde/hospitais/postos de saúde,1,Nenhuma,1,5,Péssimo,2,Péssimo,1,0,0,1,6,2,1,4,4,3,1,1,3,Se ele consegue trazer benefícios e serviços para a população,Uma pessoa influente da sua comunidade,1,Inseguro(a),3,Seguro(a),Não,2,Parda,Católica,"De R$ 440,01 até R$ 880,00",Igual,1,945,0,0,0,1,0,0,1,0,0,0,0,4,1,0,0,NA,"
Votar em um candidato que perdeu as eleições para prefeito",NA,Gestão Financ.,escolas municipais,contas do município,1,1,2,Benefícios para a comunidade,O que aprendi durante a campanha sobre o atual prefeito,Conversas com amigos ou familiares,NA,1,1,2,Ter professores bem formados,Ter bom desempenho em avaliações nacionais,Ter professores bem pagos,1,77,Não,Não,NA,NA,NA,NS/NR,0,Não,NA,NA,NA,0,4,1,Falta de investimento na educação,NA,1,1,0,1,0,1,PDT,0,0,0,1,1,0,0,113,1,0.8245357040629051
10,Abreu e Lima,2600054,260005405000039,(3) Educação,0,APROVADO COM RESSALVA,6,909,915,Homem,55,Nada interessado(a),1,0,1,Sim,Dilma Rousseff,0,Saúde/hospitais/postos de saúde,0,A administração das contas do município,1,5,Péssimo,1,Péssimo,1,0,0,1,7,2,2,4,4,4,3,1,2,Se ele se envolveu em corrupção,Uma pessoa influente da sua comunidade,1,Inseguro(a),3,Muito inseguro(a),Sim,3,Parda,Católica,"De R$ 880,01 até R$ 1.320,00",Melhor,1,925,1,0,0,0,0,0,0,0,1,1,0,3,1,0,0,NA,"
Votar em um candidato que perdeu as eleições para prefeito",NA,Educação,escolas municipais,contas do município,1,1,2,Benefícios para a comunidade,Conversas com amigos ou familiares,NA,NA,1,1,1,Ser escola de tempo integral,Ter professores bem formados,Ter bom desempenho em avaliações nacionais,1,161,Não,Não,NA,NA,NA,NS/NR,0,Não,NA,NA,NA,1,4,1,Faltam professores nas escolas,NA,1,1,0,1,0,1,PDT,0,0,1,0,NA,0,0,29,1,0.8245357040629051
